l k h I 2θ d
1 1 0 8 19.438 4.56294
2 0 0 4 19.927 4.45206
1 1 1 100 23.891 3.72159
2 0 1 50 24.297 3.66031
0 0 2 20 27.713 3.21640
1 0 2 6 29.504 3.02510
2 1 1 2 29.610 3.01451
0 1 2 4 32.511 2.75184
3 0 1 1 33.218 2.69487
0 2 0 18 33.703 2.65719
1 1 2 30 34.075 2.62903
2 0 2 16 34.366 2.60743
3 1 0 40 34.587 2.59127
1 2 1 1 37.965 2.36812
2 2 0 12 39.460 2.28177
4 0 0 4 40.491 2.22602
2 2 1 50 41.977 2.15059
4 0 1 20 42.961 2.10358
0 2 2 18 44.171 2.04872
3 1 2 40 44.882 2.01791
4 1 1 1 46.398 1.95544
1 1 3 30 46.769 1.94079
2 0 3 14 46.995 1.93198
3 2 1 1 48.039 1.89241
2 2 2 6 48.900 1.86108
4 0 2 3 49.773 1.83046
2 1 3 1 50.190 1.81623
1 3 0 3 52.630 1.73762
5 0 1 1 53.328 1.71651
4 2 0 3 53.669 1.70641
5 1 0 2 54.287 1.68844
1 3 1 12 54.674 1.67740
4 2 1 14 55.689 1.64920
5 1 1 12 56.284 1.63317
0 0 4 3 57.237 1.60822
2 3 1 1 57.762 1.59485
1 0 4 1 58.250 1.58264
2 2 3 6 59.069 1.56264
4 0 3 2 59.839 1.54436
1 3 2 3 60.514 1.52874
3 3 0 7 60.846 1.52119
1 1 4 5 61.040 1.51682
2 0 4 2 61.228 1.51261
4 2 2 3 61.461 1.50743
5 1 2 3 62.025 1.49507
6 0 0 3 62.542 1.48395
3 3 2 12 68.122 1.37535
3 1 4 10 68.627 1.36646
6 0 2 14 69.735 1.34743
4 2 3 7 70.465 1.33525
0 4 0 4 70.868 1.32864
5 1 3 8 70.993 1.32661
2 2 4 2 71.745 1.31454
4 0 4 1 72.446 1.30354
6 2 0 6 72.960 1.29562
2 4 0 1 74.457 1.27323
1 0 5 1 74.457 1.27323
5 3 0 1 75.658 1.25598
2 4 1 5 76.161 1.24893
1 1 5 4 76.937 1.23826
2 0 5 3 77.098 1.23607
5 3 1 5 77.351 1.23266
0 4 2 2 77.698 1.22802
7 1 1 4 78.712 1.21472
6 2 2 4 79.725 1.20181
2 4 2 2 81.188 1.18381
1 3 4 1 81.483 1.18027
5 1 4 1 82.821 1.16456
7 1 2 1 83.697 1.15459
1 2 5 1 84.270 1.14819
4 4 0 1 84.935 1.14090
4 4 1 4 86.585 1.12334
2 2 5 4 86.841 1.12068
4 0 5 2 87.507 1.11386
3 3 4 4 88.377 1.10513
8 0 1 2 89.242 1.09665
2 4 3 3 89.438 1.09475
6 0 4 2 89.868 1.09063
5 3 3 2 90.597 1.08374
4 4 2 1 91.509 1.07530
7 1 3 3 91.906 1.07169
1 5 0 1 93.754 1.05537
8 0 2 1 94.200 1.05154
