l k h I 2θ d
1 0 1 7 17.766 4.98843
2 0 1 14 18.973 4.67371
6 0 0 18 22.973 3.86819
0 1 1 55 30.296 2.94780
8 0 0 32 30.800 2.90070
2 1 1 9 31.262 2.85888
7 0 1 100 32.149 2.78200
4 1 1 98 34.090 2.62791
0 0 2 11 35.121 2.55309
8 0 1 10 35.572 2.52175
3 0 2 60 37.047 2.42466
10 0 0 1 38.746 2.32216
9 0 1 4 39.086 2.30274
5 0 2 29 40.279 2.23724
6 0 2 18 42.389 2.13063
10 0 1 3 42.759 2.11305
11 0 1 9 46.542 1.94973
12 0 0 1 46.952 1.93365
10 1 1 6 49.993 1.82292
9 0 2 10 50.253 1.81410
10 0 2 3 53.284 1.71783
0 0 3 8 53.841 1.70136
2 0 3 5 54.443 1.68397
7 1 2 53 55.006 1.66805
14 0 0 8 55.361 1.65820
4 0 3 30 56.295 1.63288
11 0 2 58 56.537 1.62646
12 1 1 10 56.868 1.61778
8 1 2 7 57.310 1.60635
14 0 1 3 58.455 1.57758
9 1 2 2 59.775 1.54586
12 0 2 3 59.962 1.54148
10 1 2 2 62.550 1.48378
15 0 1 6 62.680 1.48102
0 2 2 63 63.024 1.47376
13 0 2 5 63.545 1.46292
16 0 0 1 64.122 1.45114
11 1 2 3 65.505 1.42381
14 0 2 13 67.292 1.39028
6 2 2 4 68.027 1.37704
8 2 2 9 71.791 1.31381
13 1 2 4 72.006 1.31042
7 1 3 15 72.522 1.30236
12 0 3 3 74.159 1.27761
3 0 4 6 75.446 1.25898
18 0 1 4 76.060 1.25034
13 0 3 3 77.381 1.23226
6 0 4 3 78.937 1.21182
15 1 2 3 79.289 1.20732
17 0 2 3 79.557 1.20393
18 1 1 7 81.358 1.18177
0 2 3 6 82.233 1.17140
